customer_id,age,annual_income_usd,product_category,product_price_usd,purchase_date,store_id,store_location,payment_method,discount_percent,product_cost_usd,foot_traffic,quantity,competitor_price_usd,full_name,gender,year_opened,is_favorite,purchase_id,product_id,visit_date,purchase_product_price_usd
1,58,60038.0,Health & Beauty,147.43,2022-06-11,46,San Jose,Credit Card,26,109.1,336,26,171.55,Audrey Hernandez,F,2021,0,808,876,2022-06-11,147.43
2,57,31577.0,Health & Beauty,402.09,2023-06-05,53,Los Angeles,Mobile Payment,1,398.07,491,32,419.19,Peter Vasquez,M,2004,1,436,351,2023-06-05,402.09
3,39,117404.0,Groceries,958.45,2020-10-14,95,Philadelphia,Mobile Payment,0,958.45,157,3,835.92,Fred Moore,M,1999,0,758,759,2020-10-14,958.45
4,33,87434.0,Electronics,544.17,2021-08-27,24,Dallas,Credit Card,0,544.17,223,87,620.36,Kathleen Lowery,F,2013,0,398,816,2021-08-27,544.17
5,18,90225.0,Health & Beauty,645.75,2023-06-06,2,San Antonio,Credit Card,0,645.75,315,8,600.49,Christina Lane,F,2021,1,526,10,2023-06-06,645.75
6,27,71051.0,Books,304.15,2022-02-05,93,San Diego,Debit Card,0,304.15,706,71,309.4,Robert Allen,M,2008,1,169,411,2022-02-05,304.15
7,18,116056.0,Health & Beauty,629.44,2023-05-30,83,San Jose,Cash,0,629.44,796,82,614.19,Dr. Johnny Conner MD,M,2021,0,806,574,2023-05-30,629.44
8,19,116897.0,Electronics,57.43,2022-12-16,61,Los Angeles,Cash,0,57.43,642,28,62.94,Michael Lopez,M,2020,1,803,483,2022-12-16,57.43
9,70,140969.0,Electronics,237.6,2022-02-11,61,San Jose,Credit Card,15,201.96,225,77,240.68,Judith Santana,F,2008,1,882,247,2022-02-11,237.6
10,27,140161.0,Books,573.09,2021-02-12,69,San Diego,Online Transfer,29,406.89,590,22,531.0,Michael Baldwin,M,2013,1,195,391,2021-02-12,573.09
11,23,84415.0,Health & Beauty,738.67,2021-04-13,81,San Jose,Debit Card,11,657.42,375,38,672.17,Shelby Ortega,F,2008,1,562,171,2021-04-13,738.67
12,32,126348.0,Books,320.18,2020-07-26,62,Philadelphia,Debit Card,0,320.18,915,33,290.43,Andrew Norman,M,2009,1,201,625,2020-07-26,320.18
13,55,100528.0,Home & Kitchen,536.86,2020-10-31,98,Phoenix,Mobile Payment,0,536.86,590,67,487.57,Sherri Alvarado,F,2001,1,874,991,2020-10-31,536.86
14,57,38744.0,Health & Beauty,837.39,2023-02-12,16,Philadelphia,Online Transfer,12,736.9,61,46,844.74,Michael Wagner,M,2016,1,741,912,2023-02-12,837.39
15,38,52343.0,Electronics,870.01,2020-10-21,21,San Diego,Cash,0,870.01,460,2,1027.24,Calvin Mack,M,1997,1,662,506,2020-10-21,870.01
16,31,37183.0,Books,580.08,2022-09-20,56,Philadelphia,Debit Card,30,406.06,235,50,673.16,Steve Park,M,2006,1,631,493,2022-09-20,580.08
17,27,136739.0,Health & Beauty,434.31,2021-04-13,88,San Antonio,Credit Card,0,434.31,836,41,362.41,Amanda Sparks,F,2017,1,327,51,2021-04-13,434.31
18,18,95791.0,Home & Kitchen,46.38,2021-10-26,98,Dallas,Cash,0,46.38,834,57,49.84,Evelyn Silva,F,2008,0,729,329,2021-10-26,46.38
19,28,48190.0,Clothing,798.74,2022-12-02,10,Chicago,Mobile Payment,12,702.89,968,7,937.84,Joseph Sutton,M,2005,1,46,310,2022-12-02,798.74
