customer_id,age,annual_income_usd,product_category,product_price_usd,purchase_date,store_id,store_location,payment_method,discount_percent,product_cost_usd,foot_traffic,qty,competitor_price_usd,full_name,gender,year_opened,is_favorite,purchase_id,product_id,visit_date,purchased_product_price_usd,store_chain_name
1,58,60038.0,Health & Beauty,147.43,2022-06-11,46,San Jose,Credit Card,26,109.1,336,26,171.55,Gabriela Fuller,X,2022,1,636,412,2022-06-07,147.43,AllShop
2,57,31577.0,Health & Beauty,402.09,2023-06-05,53,Los Angeles,Mobile Payment,1,398.07,491,32,419.19,Doris Nguyen,F,1993,1,520,42,2023-06-04,402.09,SuperSavings
3,39,117404.0,Groceries,958.45,2020-10-14,95,Philadelphia,Mobile Payment,0,958.45,157,3,835.92,Joel Rodriguez,M,2003,0,81,872,2020-10-12,958.45,QuickGoods
4,33,87434.0,Electronics,544.17,2021-08-27,24,Dallas,Credit Card,0,544.17,223,87,620.36,Elizabeth Lewis,F,2019,0,634,580,2021-08-23,544.17,FastMart
5,18,90225.0,Health & Beauty,645.75,2023-06-06,2,San Antonio,Credit Card,0,645.75,315,8,600.49,Jason Moon,M,2015,0,168,188,2023-06-05,645.75,QuickBuy
6,27,71051.0,Books,304.15,2022-02-05,93,San Diego,Debit Card,0,304.15,706,71,309.4,Lindsey Guerra,F,1996,1,298,443,2022-02-03,304.15,CityShop
7,18,116056.0,Health & Beauty,629.44,2023-05-30,83,San Jose,Cash,0,629.44,796,82,614.19,Henry Perry,M,1991,1,344,204,2023-05-29,629.44,QuickValue
8,19,116897.0,Electronics,57.43,2022-12-16,61,Los Angeles,Cash,0,57.43,642,28,62.94,Alyssa Jones,F,2008,0,652,90,2022-12-14,57.43,MaxMart
9,70,140969.0,Electronics,237.6,2022-02-11,61,San Jose,Credit Card,15,201.96,225,77,240.68,Joseph Taylor,M,1993,1,318,352,2022-02-10,237.6,MaxMart
10,27,140161.0,Books,573.09,2021-02-12,69,San Diego,Online Transfer,29,406.89,590,22,531.0,April Butler,F,2018,1,614,378,2021-02-08,573.09,GlobalDeals
11,23,84415.0,Health & Beauty,738.67,2021-04-13,81,San Jose,Debit Card,11,657.42,375,38,672.17,Nathan Jackson,M,2004,0,455,198,2021-04-12,738.67,PrimeDeals
12,32,126348.0,Books,320.18,2020-07-26,62,Philadelphia,Debit Card,0,320.18,915,33,290.43,Hannah Morris,F,1994,0,20,608,2020-07-24,320.18,AllMart
13,55,100528.0,Home & Kitchen,536.86,2020-10-31,98,Phoenix,Mobile Payment,0,536.86,590,67,487.57,William Phillips,M,2019,1,409,869,2020-10-30,536.86,AllPrime
