customer_id,age,annual_income_usd,product_category,product_price_usd,purchase_date,store_id,store_location,payment_method,discount_percent,product_cost_usd,foot_traffic,qty,competitor_price_usd,full_name,gender,year_opened,is_favorite,purchase_id,product_id,visit_date,purchased_product_price_usd
1,58,60038.0,Health & Beauty,147.43,2022-06-11,46,San Jose,Credit Card,26,109.1,336,26,171.55,Jennifer Jones,F,2012,0,269,809,2022-06-11,147.43
2,57,31577.0,Health & Beauty,402.09,2023-06-05,53,Los Angeles,Mobile Payment,1,398.07,491,32,419.19,Caleb Hoffman,M,2000,1,90,971,2023-06-05,402.09
3,39,117404.0,Groceries,958.45,2020-10-14,95,Philadelphia,Mobile Payment,0,958.45,157,3,835.92,Taylor Vaughn,F,1991,1,12,360,2020-10-14,958.45
4,33,87434.0,Electronics,544.17,2021-08-27,24,Dallas,Credit Card,0,544.17,223,87,620.36,Vincent Ibarra DDS,M,2000,1,634,204,2021-08-27,544.17
5,18,90225.0,Health & Beauty,645.75,2023-06-06,2,San Antonio,Credit Card,0,645.75,315,8,600.49,Anthony Thompson,M,2019,1,376,577,2023-06-06,645.75
6,27,71051.0,Electronics,304.15,2022-02-05,93,San Diego,Debit Card,0,304.15,706,71,309.4,Joseph Lamb,M,2020,1,263,795,2022-02-05,304.15
7,18,116056.0,Health & Beauty,629.44,2023-05-30,83,San Jose,Cash,0,629.44,796,82,614.19,Jimmy Cross,M,1991,1,315,701,2023-05-30,629.44
8,19,116897.0,Electronics,57.43,2022-12-16,61,Los Angeles,Cash,0,57.43,642,28,62.94,Elizabeth Williams,F,2017,0,184,658,2022-12-16,57.43
9,70,140969.0,Electronics,237.6,2022-02-11,61,San Jose,Credit Card,15,201.96,225,77,240.68,Virginia Brown,X,1993,0,766,977,2022-02-11,237.6
10,27,140161.0,Books,573.09,2021-02-12,69,San Diego,Online Transfer,29,406.89,590,22,531.0,Jennifer Miller,F,1995,1,3,118,2021-02-12,573.09
11,23,84415.0,Health & Beauty,738.67,2021-04-13,81,San Jose,Debit Card,11,657.42,375,38,672.17,Melissa Brown,F,2017,1,75,634,2021-04-13,738.67
12,32,126348.0,Books,320.18,2020-07-26,62,Philadelphia,Debit Card,0,320.18,915,33,290.43,Hannah Nguyen,F,2000,0,807,854,2020-07-26,320.18
13,55,100528.0,Home & Kitchen,536.86,2020-10-31,98,Phoenix,Mobile Payment,0,536.86,590,67,487.57,Julie Meadows,F,2009,1,828,197,2020-10-31,536.86
14,57,38744.0,Health & Beauty,837.39,2023-02-12,16,Philadelphia,Online Transfer,12,736.9,61,46,844.74,Holly Humphrey,F,1999,0,144,195,2023-02-12,837.39
15,38,52343.0,Health & Beauty,870.01,2020-10-21,21,San Diego,Cash,0,870.01,460,2,1027.24,Kenneth West,M,2007,0,960,90,2020-10-21,870.01
16,31,37183.0,Books,580.08,2022-09-20,56,Philadelphia,Debit Card,30,406.06,235,50,673.16,Gary Gonzalez Jr.,M,2012,0,64,171,2022-09-20,580.08
17,27,136739.0,Home & Kitchen,434.31,2021-04-13,88,San Antonio,Credit Card,0,434.31,836,41,362.41,Mr. Adam Hopkins,M,2007,0,875,981,2021-04-13,434.31
18,18,95791.0,Electronics,46.38,2021-10-26,98,Dallas,Cash,0,46.38,834,57,49.84,Tina Harris,F,2011,1,337,493,2021-10-26,46.38
19,28,48190.0,Clothing,798.74,2022-12-02,10,Chicago,Mobile Payment,12,702.89,968,7,937.84,Jennifer Brown,F,2021,1,444,886,2022-12-02,798.74
20,55,23490.0,Health & Beauty,991.35,2021-09-25,93,Houston,Online Transfer,0,991.35,917,96,1029.38,Amanda Bauer,F,2001,1,577,326,2021-09-25,991.35
21,30,35647.0,Health & Beauty,728.66,2022-01-25,73,Philadelphia,Debit Card,3,706.8,763,38,784.48,Mallory Wilson,F,2006,0,768,567,2022-01-25,728.66
22,45,70243.0,Groceries,830.95,2022-02-19,17,Dallas,Mobile Payment,0,830.95,902,68,762.46,Heidi Huang,F,1991,0,425,844,2022-02-19,830.95
23,47,91865.0,Groceries,107.33,2021-07-02,54,San Diego,Cash,14,92.3,379,66,104.73,Randall Mclean,M,2004,1,470,20,2021-07-02,107.33
24,30,41065.0,Clothing,63.61,2023-04-28,32,Philadelphia,Mobile Payment,0,63.61,380,3,59.44,Ryan Meyer,M,1990,0,989,191,2023-04-28,63.61
25,67,42708.0,Home & Kitchen,321.59,2021-03-31,66,San Diego,Cash,0,321.59,374,61,275.44,Anthony Clements,M,2021,1,243,642,2021-03-31,321.59
26,21,110548.0,Electronics,430.07,2021-11-24,31,Dallas,Online Transfer,20,344.06,685,21,488.99,Scott Peters,M,2012,1,948,456,2021-11-24,430.07
27,19,146371.0,Health & Beauty,401.87,2023-05-05,86,Chicago,Cash,0,401.87,895,56,410.26,Donald Evans,M,2004,0,781,297,2023-05-05,401.87
28,69,144077.0,Electronics,658.37,2023-05-02,44,Phoenix,Online Transfer,25,493.78,424,100,616.44,Steven Foster,M,2018,0,576,502,2023-05-02,658.37
29,52,116001.0,Electronics,291.67,2020-08-17,25,New York,Mobile Payment,24,221.67,704,46,289.95,Anthony Brown,M,2023,1,176,262,2020-08-17,291.67
30,40,33217.0,Clothing,949.31,2022-08-31,23,San Jose,Debit Card,2,930.32,299,54,990.06,Jamie Gardner,F,2012,1,482,730,2022-08-31,949.31
31,67,25152.0,Health & Beauty,815.46,2022-06-10,84,Dallas,Credit Card,6,766.53,272,16,662.83,John Bright,M,2013,1,606,638,2022-06-10,815.46
32,41,69539.0,Groceries,801.69,2023-03-11,59,Philadelphia,Debit Card,30,561.18,942,7,725.1,Edward Clarke,M,2016,0,626,368,2023-03-11,801.69
33,57,74392.0,Health & Beauty,700.58,2022-06-23,92,Los Angeles,Credit Card,0,700.58,296,81,804.58,Olivia Grant,F,2017,0,423,170,2022-06-23,700.58
34,63,50488.0,Health & Beauty,506.22,2021-11-22,61,Phoenix,Online Transfer,29,359.42,141,67,523.47,Dr. Jared Melton,X,1999,0,640,165,2021-11-22,506.22
35,58,53914.0,Home & Kitchen,779.79,2021-08-09,23,Chicago,Debit Card,0,779.79,533,49,904.94,Lisa Wilson,F,2023,1,595,642,2021-08-09,779.79
36,31,41924.0,Electronics,540.73,2021-01-27,23,San Antonio,Credit Card,0,540.73,632,68,484.33,Matthew Ortega,M,2006,1,61,845,2021-01-27,540.73
37,59,72435.0,Groceries,423.51,2022-02-09,96,Houston,Debit Card,0,423.51,682,4,395.63,Keith Booker,M,2016,0,28,611,2022-02-09,423.51
38,56,88162.0,Groceries,225.04,2023-01-15,29,San Jose,Mobile Payment,3,218.29,410,95,202.52,Dalton Cline,M,2012,1,109,183,2023-01-15,225.04
39,63,72763.0,Home & Kitchen,583.0,2022-11-09,76,Los Angeles,Debit Card,5,553.85,204,35,541.02,Mitchell Parsons,M,2017,1,484,298,2022-11-09,583.0
40,18,97580.0,Groceries,863.37,2023-02-10,12,Los Angeles,Mobile Payment,26,638.89,185,87,1027.01,Raymond Lopez,M,2008,0,214,372,2023-02-10,863.37
41,49,22538.0,Home & Kitchen,838.76,2021-08-09,13,San Jose,Cash,26,620.68,150,25,785.91,Rebecca Ramos,F,2016,0,36,766,2021-08-09,838.76
42,52,121613.0,Health & Beauty,649.02,2022-09-10,21,Dallas,Cash,9,590.61,300,17,587.1,Amy Wade,F,2006,1,345,791,2022-09-10,649.02
43,39,107301.0,Health & Beauty,407.66,2022-07-05,13,San Jose,Credit Card,2,399.51,479,50,330.45,Jeremy Rivera,M,2016,1,447,375,2022-07-05,407.66
44,19,43301.0,Clothing,813.69,2022-08-03,19,Philadelphia,Credit Card,0,813.69,575,25,877.9,Jeffrey Hardin,M,2001,1,517,26,2022-08-03,813.69
45,31,119115.0,Electronics,45.04,2021-02-22,98,New York,Debit Card,0,45.04,591,37,39.36,Lisa Salazar,F,2001,0,999,130,2021-02-22,45.04
