customer_id,age,annual_income_usd,product_category,product_price_usd,purchase_date,store_id,store_location,payment_method,discount_percent,product_cost_usd,foot_traffic,qty,competitor_price_usd,full_name,gender,year_opened,is_favorite,purchase_id,product_id,visit_date,purchased_product_price_usd
1,58,60038.0,Health & Beauty,147.43,2022-06-11,46,San Jose,Credit Card,26,109.1,336,26,171.55,Theodore Rosales,M,2016,0,26,877,2022-06-07,147.43
2,57,31577.0,Health & Beauty,402.09,2023-06-05,53,Los Angeles,Mobile Payment,1,398.07,491,32,419.19,Diana Huynh,F,2023,1,190,709,2023-06-01,402.09
3,39,117404.0,Groceries,958.45,2020-10-14,95,Philadelphia,Mobile Payment,0,958.45,157,3,835.92,Donald Stewart,M,2013,1,233,750,2020-10-10,958.45
4,33,87434.0,Electronics,544.17,2021-08-27,24,Dallas,Credit Card,0,544.17,223,87,620.36,Christine Brady,F,2022,1,699,1,2021-08-24,544.17
5,18,90225.0,Health & Beauty,645.75,2023-06-06,2,San Antonio,Credit Card,0,645.75,315,8,600.49,Christopher Parker,M,2004,1,274,58,2023-06-05,645.75
6,27,71051.0,Books,304.15,2022-02-05,93,San Diego,Debit Card,0,304.15,706,71,309.4,Amy Richardson,F,2023,0,195,18,2022-02-01,304.15
7,18,116056.0,Health & Beauty,629.44,2023-05-30,83,San Jose,Cash,0,629.44,796,82,614.19,Sheri Nguyen,F,1999,1,511,639,2023-05-28,629.44
8,19,116897.0,Electronics,57.43,2022-12-16,61,Los Angeles,Cash,0,57.43,642,28,62.94,Damon Tucker,M,2006,0,296,164,2022-12-15,57.43
9,70,140969.0,Electronics,237.6,2022-02-11,61,San Jose,Credit Card,15,201.96,225,77,240.68,Rodney Khan,M,2008,0,999,680,2022-02-10,237.6
10,27,140161.0,Books,573.09,2021-02-12,69,San Diego,Online Transfer,29,406.89,590,22,531.0,Jay Walters,M,1992,0,306,63,2021-02-09,573.09
11,23,84415.0,Health & Beauty,738.67,2021-04-13,81,San Jose,Debit Card,11,657.42,375,38,672.17,Deborah Whitaker,F,1998,0,525,614,2021-04-10,738.67
12,32,126348.0,Books,320.18,2020-07-26,62,Philadelphia,Debit Card,0,320.18,915,33,290.43,Christopher Oneal,X,2000,1,333,108,2020-07-22,320.18
13,55,100528.0,Home & Kitchen,536.86,2020-10-31,98,Phoenix,Mobile Payment,0,536.86,590,67,487.57,Gail Turner,F,2023,0,989,165,2020-10-29,536.86
14,57,38744.0,Health & Beauty,837.39,2023-02-12,16,Philadelphia,Online Transfer,12,736.9,61,46,844.74,Patrick Allen,M,1996,0,996,473,2023-02-10,837.39
15,38,52343.0,Electronics,870.01,2020-10-21,21,San Diego,Cash,0,870.01,460,2,1027.24,Blake Hart,M,2003,0,364,706,2020-10-20,870.01
16,31,37183.0,Books,580.08,2022-09-20,56,Philadelphia,Debit Card,30,406.06,235,50,673.16,Christopher Parks,M,2020,1,917,767,2022-09-19,580.08
17,27,136739.0,Health & Beauty,434.31,2021-04-13,88,San Antonio,Credit Card,0,434.31,836,41,362.41,Jessica Booth,F,2019,0,71,395,2021-04-12,434.31
18,18,95791.0,Home & Kitchen,46.38,2021-10-26,98,Dallas,Cash,0,46.38,834,57,49.84,Walter Brown,M,1993,1,129,765,2021-10-24,46.38
19,28,48190.0,Clothing,798.74,2022-12-02,10,Chicago,Mobile Payment,12,702.89,968,7,937.84,Jennifer Tucker,F,2018,1,465,660,2022-12-02,798.74
20,55,23490.0,Health & Beauty,991.35,2021-09-25,93,Houston,Online Transfer,0,991.35,917,96,1029.38,Deborah Walker,F,2017,0,820,436,2021-09-21,991.35
21,30,35647.0,Health & Beauty,728.66,2022-01-25,73,Philadelphia,Debit Card,3,706.8,763,38,784.48,Amy Payne,F,2015,0,914,835,2022-01-22,728.66
22,45,70243.0,Groceries,830.95,2022-02-19,17,Dallas,Mobile Payment,0,830.95,902,68,762.46,Mark Robinson,M,2017,0,593,489,2022-02-18,830.95
23,47,91865.0,Groceries,107.33,2021-07-02,54,San Diego,Cash,14,92.3,379,66,104.73,Heather Delgado,F,2015,1,174,464,2021-07-02,107.33
24,30,41065.0,Clothing,63.61,2023-04-28,32,Philadelphia,Mobile Payment,0,63.61,380,3,59.44,Mrs. Mary Williamson,F,2008,1,669,713,2023-04-26,63.61
25,67,42708.0,Home & Kitchen,321.59,2021-03-31,66,San Diego,Cash,0,321.59,374,61,275.44,Emma Chaney,F,2020,0,721,731,2021-03-27,321.59
26,21,110548.0,Home & Kitchen,430.07,2021-11-24,31,Dallas,Online Transfer,20,344.06,685,21,488.99,John Brown,M,2000,1,66,895,2021-11-21,430.07
27,19,146371.0,Electronics,401.87,2023-05-05,86,Chicago,Cash,0,401.87,895,56,410.26,Daniel Lawrence,M,2000,1,473,211,2023-05-02,401.87
28,69,144077.0,Electronics,658.37,2023-05-02,44,Phoenix,Online Transfer,25,493.78,424,100,616.44,Amy Ritter,F,2000,1,919,613,2023-05-02,658.37
29,52,116001.0,Home & Kitchen,291.67,2020-08-17,25,New York,Mobile Payment,24,221.67,704,46,289.95,Mary Kramer,F,2003,1,765,406,2020-08-13,291.67
30,40,33217.0,Clothing,949.31,2022-08-31,23,San Jose,Debit Card,2,930.32,299,54,990.06,Carly Soto,F,2010,1,363,975,2022-08-30,949.31
31,67,25152.0,Clothing,815.46,2022-06-10,84,Dallas,Credit Card,6,766.53,272,16,662.83,Matthew Boone,M,2023,0,963,140,2022-06-08,815.46
32,41,69539.0,Groceries,801.69,2023-03-11,59,Philadelphia,Debit Card,30,561.18,942,7,725.1,Kevin Smith,M,1998,0,287,404,2023-03-07,801.69
33,57,74392.0,Health & Beauty,700.58,2022-06-23,92,Los Angeles,Credit Card,0,700.58,296,81,804.58,Melissa Young,F,2023,1,807,743,2022-06-21,700.58
34,63,50488.0,Electronics,506.22,2021-11-22,61,Phoenix,Online Transfer,29,359.42,141,67,523.47,Brendan Kerr,M,2011,1,558,291,2021-11-18,506.22
35,58,53914.0,Electronics,779.79,2021-08-09,23,Chicago,Debit Card,0,779.79,533,49,904.94,Brittany Townsend,F,1996,0,693,955,2021-08-05,779.79
36,31,41924.0,Groceries,540.73,2021-01-27,23,San Antonio,Credit Card,0,540.73,632,68,484.33,William Love,M,2016,1,864,194,2021-01-24,540.73
37,59,72435.0,Groceries,423.51,2022-02-09,96,Houston,Debit Card,0,423.51,682,4,395.63,Kevin Woodard,M,2003,1,344,821,2022-02-05,423.51
38,56,88162.0,Electronics,225.04,2023-01-15,29,San Jose,Mobile Payment,3,218.29,410,95,202.52,Brittany Gallagher,F,2001,0,178,644,2023-01-13,225.04
39,63,72763.0,Home & Kitchen,583.0,2022-11-09,76,Los Angeles,Debit Card,5,553.85,204,35,541.02,Frank Thompson,M,2007,0,110,17,2022-11-05,583.0
40,18,97580.0,Groceries,863.37,2023-02-10,12,Los Angeles,Mobile Payment,26,638.89,185,87,1027.01,Joshua Newton,M,2006,1,109,80,2023-02-06,863.37
